PageLocation,EventTimestamp,PageSequenceInSession,SessionNumber
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:00:38.645000,37,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:04:10.560000,38,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:06:13.308000,39,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:11:44.512000,40,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:14:54.832000,41,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:16:39.130000,42,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:17:53.540000,43,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:20:27.674000,44,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:22:17.710000,45,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:25:02.248000,46,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:25:23.334000,47,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:25:40.587000,48,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:25:53.708000,49,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:26:17.640000,50,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:26:34.262000,51,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:26:45.938000,52,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:26:55.201000,53,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:27:02.664000,54,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:27:16.260000,55,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:27:34.467000,56,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:27:50.200000,57,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:28:17.800000,58,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:28:31.378000,59,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:29:12.200000,60,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:30:17.264000,61,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:31:03.324000,62,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:32:00.230000,63,32678679
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 05:32:29.836000,64,32678679
